folio,section,eva_token,failure_reason
f6r,Botanical,cholor,not_full_token_parse
f6r,Botanical,cphol,not_full_token_parse
f6r,Botanical,otcham,not_full_token_parse
f6r,Botanical,chckhy,not_full_token_parse
f6r,Botanical,kar,not_full_token_parse
f6r,Botanical,chotols,not_full_token_parse
f6r,Botanical,foeear,not_full_token_parse
f6r,Botanical,kshor,not_full_token_parse
f6r,Botanical,choky,not_full_token_parse
f6r,Botanical,os,not_full_token_parse
f6r,Botanical,cheoeees,not_full_token_parse
f6r,Botanical,ytaiin,not_full_token_parse
f6r,Botanical,otcham,not_full_token_parse
f6r,Botanical,tr,not_full_token_parse
f6r,Botanical,okoiin,not_full_token_parse
f6r,Botanical,ytaly,not_full_token_parse
f6r,Botanical,cthaiin,not_full_token_parse
f6r,Botanical,ckham,not_full_token_parse
f6r,Botanical,cthaiin,not_full_token_parse
f6r,Botanical,okaiin,not_full_token_parse
f6r,Botanical,ckhor,not_full_token_parse
f6r,Botanical,ckhaiin,not_full_token_parse
f6r,Botanical,skaiiodar,not_full_token_parse
f6r,Botanical,otaiin,not_full_token_parse
f6r,Botanical,tchor,not_full_token_parse
f6r,Botanical,ctheod,not_full_token_parse
f6r,Botanical,olchaj,not_full_token_parse
f6r,Botanical,chokaiin,not_full_token_parse
f6r,Botanical,cthom,not_full_token_parse
f6r,Botanical,qocthol,not_full_token_parse
f6r,Botanical,odaiin,not_full_token_parse
f6r,Botanical,ysho,not_full_token_parse
f6r,Botanical,taiin,not_full_token_parse
f6r,Botanical,y,not_full_token_parse
f6r,Botanical,kaiim,not_full_token_parse
f6v,Botanical,koary,not_full_token_parse
f6v,Botanical,eekar,not_full_token_parse
f6v,Botanical,chapchy,not_full_token_parse
f6v,Botanical,otchy,not_full_token_parse
f6v,Botanical,oees,not_full_token_parse
f6v,Botanical,chckhy,not_full_token_parse
f6v,Botanical,qoekchar,not_full_token_parse
f6v,Botanical,chea,not_full_token_parse
f6v,Botanical,odaiiin,not_full_token_parse
f6v,Botanical,kchey,not_full_token_parse
f6v,Botanical,chaiin,not_full_token_parse
f6v,Botanical,oechockhy,not_full_token_parse
f6v,Botanical,chekchoy,not_full_token_parse
f6v,Botanical,y,not_full_token_parse
f6v,Botanical,shckhy,not_full_token_parse
f6v,Botanical,ytchoy,not_full_token_parse
f6v,Botanical,os,not_full_token_parse
f6v,Botanical,y,not_full_token_parse
f6v,Botanical,jajy,not_full_token_parse
f6v,Botanical,dchy,not_full_token_parse
f6v,Botanical,chodam,not_full_token_parse
f6v,Botanical,okor,not_full_token_parse
f6v,Botanical,tchody,not_full_token_parse
f6v,Botanical,shocthol,not_full_token_parse
f6v,Botanical,ychos,not_full_token_parse
f6v,Botanical,cthol,not_full_token_parse
f6v,Botanical,okchey,not_full_token_parse
f6v,Botanical,cthom,not_full_token_parse
f6v,Botanical,qokchod,not_full_token_parse
f6v,Botanical,kchdy,not_full_token_parse
f6v,Botanical,ctho,not_full_token_parse
f6v,Botanical,m,not_full_token_parse
f6v,Botanical,ytcho,not_full_token_parse
f6v,Botanical,yodaiin,not_full_token_parse
f6v,Botanical,oees,not_full_token_parse
f6v,Botanical,qokor,not_full_token_parse
f6v,Botanical,cthol,not_full_token_parse
f6v,Botanical,tchalody,not_full_token_parse
f6v,Botanical,chockhy,not_full_token_parse
f6v,Botanical,ochy,not_full_token_parse
f6v,Botanical,cthr,not_full_token_parse
f6v,Botanical,y,not_full_token_parse
f6v,Botanical,chaies,not_full_token_parse
f6v,Botanical,ckhal,not_full_token_parse
f6v,Botanical,cthodam,not_full_token_parse
f6v,Botanical,ytchocthol,not_full_token_parse
f6v,Botanical,ocholy,not_full_token_parse
f6v,Botanical,kchos,not_full_token_parse
f6v,Botanical,dchor,not_full_token_parse
f6v,Botanical,choldar,not_full_token_parse
f6v,Botanical,octham,not_full_token_parse
f7r,Botanical,fchodaiin,not_full_token_parse
f7r,Botanical,shopchey,not_full_token_parse
f7r,Botanical,qko,not_full_token_parse
f7r,Botanical,qoos,not_full_token_parse
f7r,Botanical,charochy,not_full_token_parse
f7r,Botanical,dcheey,not_full_token_parse
